,Lodging,stress minus equation,original stress equation,stress minus equation with standard thickness,Height,main stem DIAm 3,tiller Diam 3,tiller compressed 3,till.comp.flex,Flex after crushing,Root 
107,22.89437106,9.752160586,12.38325809,8.071294314,35,2.046666667,1.9125,0.5625,0.636666667,0.074166667,1.59
108,62.89437969,5.250655088,6.44016553,4.870706177,58.66666667,2.18,2.32,0.735,0.98,0.245,1.931111111
109,16.16373822,3.540059521,4.010097781,3.713933114,38.83333333,2.4,2.582,0.953,1.168,0.215,2.188
110,36.86635945,3.873992073,4.280459691,4.068950661,67.75,1.814285714,2.49,0.96,1.402857143,0.442857143,2.235714286
111,17.97405672,3.702329024,4.20820283,3.84719545,38,2.45375,2.546,0.934,1.164,0.23,2.24
112,19.87654321,6.370818309,7.901478722,5.691461385,41.5,2,2.184,0.676,0.814,0.138,2.194
113,5.000784683,4.693853014,5.235335833,4.759662232,40.83333333,1.997,2.341,0.888,1.083,0.195,2.005454545
114,10.52573319,5.039058386,5.417965118,5.168494934,38.66666667,2.101818182,2.267,0.915,1.171,0.256,2.245454545
115,66.34385869,,,,60.5,2.075,,,,,1.78375
116,16.85015203,3.472087505,3.738728356,3.766776026,42.16666667,2.669,2.5675,1.03375,1.3325,0.29875,2.308
117,38.51004851,5.951714712,6.51223153,5.906838513,68,1.863,2.153,0.844,1.049,0.205,1.995454545
118,29.44635759,6.034861653,6.444696918,6.062067182,33.94444444,2.454444444,2.131666667,0.87,1.096666667,0.226666667,2.141111111
119,10.80975063,4.256731449,4.222250354,4.648649662,39.83333333,2.330909091,2.362727273,1.080909091,1.331818182,0.250909091,2.370909091
120,,,,,,,,,,,
121,24.62692311,6.074912979,7.470631514,5.506685724,33.16666667,2.134166667,2.212,0.697,0.868,0.171,1.953636364
122,41.75186447,4.327698608,5.186802808,4.217250341,77.66666667,2.005454545,2.455,0.815,1.08,0.265,1.626363636
123,9.3331014,4.102123725,4.967394924,3.99655296,40.33333333,2.3,2.507777778,0.815555556,0.981111111,0.165555556,1.798333333
124,14.44703807,4.031249718,4.185973776,4.350794829,32,2.178181818,2.425,1.035,1.2675,0.2325,2.238181818
125,49.38596491,3.760957933,3.961172422,4.074852107,78.16666667,1.870909091,2.488571429,1.038571429,1.367142857,0.328571429,1.89
126,4.624542125,3.764733957,4.125627459,3.991645583,47.66666667,2.1375,2.509,0.981,1.229,0.248,2.0475
127,46.16608508,3.214536837,3.345814327,3.593379276,84.5,1.902727273,2.61625,1.1125,1.5525,0.44,1.8375
128,40.78381878,5.795554257,6.208039103,5.843094999,75.5,2.001818182,2.162,0.878,1.106,0.228,1.976666667
129,57.07105696,,,,80,2.158,,,,,1.588181818
130,49.11622276,5.442655017,5.837246693,5.530377251,64.5,1.81375,2.208333333,0.895,1.168333333,0.273333333,1.885
131,32.01468614,5.626008525,6.725114373,5.284818432,42.83333333,2.224545455,2.2475,0.75,0.8975,0.1475,1.870909091
132,18.3935644,4.528576458,4.822884364,4.741804811,58.55555556,1.811,2.344444444,0.961111111,1.26,0.298888889,1.863333333
133,41.86869599,7.656118261,8.687592143,7.190524378,71.16666667,1.781428571,1.9975,0.735,0.8675,0.1325,1.522857143
134,37.9579716,5.382021257,5.865872644,5.427379556,62.83333333,1.774,2.224444444,0.877777778,1.10125,0.223472222,2.059
135,18.58222849,3.84469692,4.137678875,4.104549514,44,2.44,2.481428571,1,1.3,0.3,2.052222222
136,,,,,,,,,,,
137,45.42577585,8.976039074,9.291617589,8.74641811,54.16666667,2.035,1.856,0.796,0.904,0.108,1.86625
138,49.44870368,5.151878327,5.563953977,5.254628016,70.22222222,1.975090909,2.2525,0.9025,1.0625,0.16,1.709090909
139,22.12544271,4.02501273,4.621474718,4.098584557,33.33333333,2.223,2.482857143,0.894285714,1.167142857,0.272857143,2.476
140,32.91918292,5.05463832,5.039006723,5.373825624,70.83333333,1.745454545,2.233,1.014,1.31,0.296,2.102727273
141,,,,,,,,,,,
142,22.07439812,5.028597961,4.950936355,5.376934004,30.83333333,2.525,2.2325,1.0325,1.2725,0.24,2.261666667
143,23.67963168,4.010923697,4.444262542,4.182658888,84.16666667,1.966,2.463,0.945,1.258,0.313,2.136666667
144,36.11452161,3.820006933,4.407898101,3.908697926,65.16666667,2.099166667,2.53,0.903,1.224,0.321,2.2225
145,9.136477558,3.564359117,4.017213491,3.747598861,38.33333333,2.71,2.572727273,0.958181818,1.234545455,0.276363636,2.707272727
146,32.36882077,6.899115742,7.784699319,6.587612218,39.33333333,2.247272727,2.065,0.7675,0.9175,0.15,2.132727273
147,55.62969107,4.675473422,4.761781344,4.980041733,70.5,2.02,2.3,1.011428571,1.218571429,0.207142857,2.325454545
148,27.62522565,8.407929274,9.254210785,7.971594679,42.5,2.013636364,1.921428571,0.745714286,0.855714286,0.11,1.751818182
149,20.32323946,3.723747225,4.065405504,3.963710194,37.16666667,2.317142857,2.516,0.99,1.246,0.256,1.7925
150,40.04446539,9.029881379,8.780089846,9.040502239,59,1.695714286,1.833333333,0.863333333,1.026666667,0.163333333,1.722857143
151,45.92273385,4.695623481,5.184910825,4.791005865,64.33333333,2.192727273,2.335,0.90125,1.15,0.24875,1.825833333
152,30.61550759,4.462937921,5.174672465,4.44117973,67.83333333,2.0375,2.405454545,0.850909091,1.197272727,0.346363636,2.006363636
153,35.40002411,3.532123508,3.997569949,3.709129033,69.66666667,1.79,2.583333333,0.955,1.245,0.29,1.94875
154,23.22916667,8.220656878,8.834718208,7.926116957,30.66666667,2.037,1.925555556,0.777777778,0.93,0.152222222,1.777
155,15.2509368,5.525812047,6.471254092,5.289874931,41.5,2.113636364,2.246666667,0.78,1.016666667,0.236666667,1.623636364
