DNA GENERATION,LINE #,Germination 2014NACHECKED,Germination 2014 %,branch numb.2014,"stand good?1=Y. 2=bad sample, do not use lines labeled 2",Height,length,prcnt lodging bad germ lines includedNAchecked,Prcnt.Lodging,flowering time 2014,tendril length 14 node 2014,tendril length 2014,Nodes 1st flow 2014,max nodes 2014,internode length 2014,Total yield 2014,Avg.Yld.Plant 2014,Main stm.diameter 2014,Average compressed main stem thickness 2014,Tiller diameter 2014,compressed tiller thickness 2014,"white flower, 1 is white",black hilum delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late,length,tall/dwf based on grnhouse data+ field 2014 ,Afila 1=YES=DELTA=A
,Delta ,9.45,94.5,3.066,1,42.4,51.4,17.50972763,17.29350327,1.454,18.15909,19.90909,16.45454545,21,2.447619048,148.7,14.87,2.738646465,1.047272727,3.274062049,0.790983045,A,A,A,A,A,51.4,A,A
,RER ,,,3.125,1,NA,NA,,NA,4,14.25,14.25,20,25.5,NA,NA,NA,NA,NA,NA,NA,B,B,B,B,B,NA,B,B
F7,1,6,60,3,1,30,63,52.38095238,52.38095238,3,20.33,21.5,14,23,2.739130435,86.705,10.838125,2.3275,1.08625,3.3,1.218,A,A,B,A,B,63,B,B
F7,2,10,100,3,1,34,44,22.72727273,22.72727273,2,15,15,19,23,1.913043478,109.098,10.9098,NA,NA,NA,NA,B,B,A,A,A,44,A,A
F7,3,7,70,2,1,31.25,44.25,29.37853107,29.37853107,2,14.83333333,17,15,19,2.328947368,90.298,12.89971429,3.035714286,1.144285714,3.3875,0.8575,A,B,A,B,A,44.25,A,B
F6,4,9,90,3,1,24,43,44.18604651,44.18604651,1,17.33333333,17,12,18,2.388888889,124.95,13.88333333,2.97,1.034444444,3.2375,0.7825,A,A,A,A,A,43,A,B
F7,5,3,30,4.33,2,11,38,71.05263158,NA,NA,14.75,15.5,19,24,1.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,A,B
F7,6,9,90,2.75,1,37,45,17.77777778,17.77777778,2,15,19,15,19,2.368421053,97.174,10.79711111,2.611111111,0.885555556,3.046,0.78,A,A,A,A,A,45,A,A
F6,7,5,50,1.33,2,15,42,64.28571429,NA,3,15.25,19,19,22,1.909090909,19.288,3.8576,2.102,0.806,2.45,0.72,B,A,A,B,A,42,A,A
F6,8,3,30,1.33,2,20,69,71.01449275,NA,3,18.5,23,16.5,19,3.631578947,23.993,7.997666667,2.516666667,1.08,3.27,1.32,A,A,A,A,A,69,B,NA
F7,9,3,30,5,1,38,40,5,5,3,19.33333333,17.5,16,21,1.904761905,77.597,25.86566667,2.803333333,1.043333333,2.95,0.88,A,A,A,A,A,40,A,A
F7,10,10,100,3.6,1,21,82,74.3902439,74.3902439,1,19.5,16.5,14,23,3.565217391,122.206,12.2206,NA,NA,NA,NA,A,A,A,B,B,82,B,A
F7,11,10,100,6,1,44,44,0,0,3,14.25,16,16,20.5,2.146341463,175.881,17.5881,2.463,0.981,3.09625,0.89,A,A,B,A,B,44,A,B
F7,12,6,60,2.33,NA,38,88,56.81818182,56.81818182,NA,24.5,28.5,15,22,4,97.293,16.2155,2.316666667,1.001666667,3.15,0.803333333,A,A,B,A,A,88,B,A
F7,13,8,80,2.75,1,33.5,39.5,15.18987342,15.18987342,2,14.75,14,12,18,2.194444444,102.742,12.84275,2.865714286,1.211428571,2.918571429,0.861428571,A,B,A,A,A,39.5,A,B
F7,14,3,30,2,2,23,90,74.44444444,NA,3,22.5,22,20,26,3.461538462,38.505,12.835,2.66,1.143333333,3.56,1.18,A,A,A,B,A,90,B,B
F7,15,4,40,4,1,23,45.5,49.45054945,49.45054945,2,18,19,14,20,2.275,71.603,17.90075,3.0775,1.45,3.29,0.893333333,A,A,A,A,A,45.5,A,B
F6,16,9,90,2.75,1,41,79,48.10126582,48.10126582,0.5,15.5,18.5,13,20,3.95,85.26,9.473333333,2.068888889,0.916666667,2.565555556,0.743333333,A,A,A,B,A,79,B,A
F7,17,7,70,2.33,1,19,43.5,56.32183908,56.32183908,1,19.5,20,16,22,1.977272727,102.685,14.66928571,NA,NA,NA,NA,A,A,A,A,A,43.5,A,B
F7,18,6,60,4.66,1,50,51,1.960784314,1.960784314,NA,15.5,15,21,25,2.04,117.301,19.55016667,2.188333333,0.975,2.852,0.804,B,A,B,A,A,51,A,A
F7,19,7,70,2.5,1,34,101,66.33663366,66.33663366,1,16.5,21,16,24,4.208333333,93.47,13.35285714,1.935714286,0.937142857,2.585714286,0.812857143,A,B,A,NA,A,101,B,A
F7,20,10,100,3.25,1,23,40.25,42.85714286,42.85714286,2,16.5,17,11,15,2.683333333,104.152,10.4152,2.619,0.982,2.39125,0.71375,B,A,A,A,A,40.25,A,B
