Year,DNA GENERATION,LINE #,Germination 2014NACHECKED,Germination 2014 %,branch numb.2014,"stand good?1=Y. 2=bad sample, do not use lines labeled 2",Height,length,prcnt lodging bad germ lines includedNAchecked,Prcnt.Lodging,flowering time 2014,tendril length 14 node 2014,tendril length 2014,Nodes 1st flow 2014,max nodes 2014,internode length 2014,Total yield 2014,Avg.Yld.Plant 2014,Main stm.diameter 2014,Average compressed main stem thickness 2014,Tiller diameter 2014,compressed tiller thickness 2014,"white flower, 1 is white",black hilum delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late,length,tall/dwf based on grnhouse data+ field 2014 ,Afila 1=YES=DELTA=A,Maturity Time,Tendril Width,Root compressed avg,"avg main, side brnch+root"
2014,F6,85,7,70,2.5,2,17.5,28.5,38.59649123,NA,NA,14.5,15.5,12.5,18.5,1.540540541,57.695,8.242142857,2.68,0.96,2.62,0.684,A,A,A,A,A,28.5,A,B,,,,
2014,F6,86,4,40,2.75,2,19,41,53.65853659,NA,4,13,15.5,19,23,1.782608696,26.362,6.5905,2.415,1.12,2.715,1.2025,B,B,B,A,B,41,A,B,,,,
2014,F6,87,9,90,4.33,1,20.5,42,51.19047619,51.19047619,NA,17,16.5,21,26,1.615384615,126.54,14.06,2.92,1.056666667,3.361428571,0.82,A,B,B,A,B,42,A,B,,,,
2014,F5,88,9,90,5.33,1,43,44,2.272727273,2.272727273,1,17,18,22.5,23.5,1.872340426,117.615,13.06833333,2.446666667,0.895555556,3.3725,0.79375,B,B,B,A,B,44,A,B,,,,
2014,F6,89,10,100,3,1,32,70,54.28571429,54.28571429,4,18.5,21,18.5,26,2.692307692,148.14,14.814,NA,NA,NA,NA,B,A,B,B,B,70,B,B,,,,
2014,F6,90,10,100,3.25,1,38,43,11.62790698,11.62790698,1,15,17.5,17,21,2.047619048,111.551,11.1551,NA,NA,NA,NA,B,B,A,NA,A,43,A,B,,,,
2014,F6,91,7,70,3.5,1,27.33333333,56,51.19047619,51.19047619,NA,17,20,16,22,2.545454545,64.578,9.225428571,2.414285714,0.907142857,2.942,0.826,B,B,A,A,A,56,NA,B,,,,
2014,F6,92,3,30,3.5,2,26,62,58.06451613,NA,4,18,18,24,26,2.384615385,32.804,10.93466667,2.02,1.04,2.64,1.17,B,B,B,B,NA,62,B,B,,,,
2014,F6,93,6,60,4.25,1,40.33,64.33333333,37.31088083,37.31088083,3.5,17.5,23,20,24,2.680555556,75.255,12.5425,2.188333333,0.996666667,3.084,0.896,B,B,B,B,NA,64.33333333,B,B,,,,
2014,F6,94,7,70,4.5,1,23,34,32.35294118,32.35294118,4,10.5,11,21,NA,NA,49.883,7.126142857,1.927142857,0.802857143,2.358571429,0.718571429,B,B,B,B,B,34,A,A,,,,
2014,F6,95,5,50,2.5,1,36,63,42.85714286,42.85714286,4,17.5,16.5,23,NA,NA,34.177,6.8354,2.182,1.136,2.586,1.168,B,A,B,B,NA,63,B,B,,,,
2014,F6,96,5,50,3.6,1,35,76,53.94736842,53.94736842,4,19,21,24,NA,NA,30.186,6.0372,2.204,1.122,2.62,1.1,B,A,B,B,B,76,B,B,,,,
2014,F6,97,2,20,6,1,9,37,75.67567568,NA,4,14,14,24,NA,NA,39.881,19.9405,2.185,1.03,2.75,1.06,B,NA,B,A,B,37,A,B,,,,
2014,F6,98,5,50,3,1,13.5,35.5,61.97183099,61.97183099,4,12,11,24,38,0.934210526,22.708,4.5416,2.176,1.024,2.6225,1.0175,B,A,B,B,B,35.5,A,A,,,,
2014,F6,99,6,60,2.75,1,45,74,39.18918919,39.18918919,4,17,22,21,24,3.083333333,57.15,9.525,1.878333333,0.801666667,2.773333333,0.863333333,B,B,B,B,B,74,B,A,,,,
2014,F6,100,4,40,3,2,19.5,46,57.60869565,NA,4,16,20,18.5,24,1.916666667,51.594,12.8985,2.47,1.1125,2.65,1.0925,B,A,B,A,A,46,A,B,,,,
2014,F6,101,5,50,4,1,30,34,11.76470588,11.76470588,3,11.5,13,20,24,1.416666667,53.676,10.7352,2.32,0.922,2.9,0.935,B,B,B,B,B,34,A,A,,,,
2014,F5,102,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,A,B,A,A,NA,A,B,,,,
2014,F6,103,9,90,4,1,66,77,14.28571429,14.28571429,NA,16,24,19,25,3.08,176.301,19.589,NA,NA,NA,NA,B,B,B,B,B,77,B,A,,,,
2014,F5,104,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,B,B,NA,NA,B,,,,
2014,F6,105,9,90,3.33,1,33,40,17.5,17.5,2,18,17,13,22,1.818181818,157.773,17.53033333,3.252222222,1.328888889,3.214285714,1.022857143,B,B,B,A,NA,40,A,B,,,,
2014,F6,106,7,70,4.5,1,44.5,69,35.50724638,35.50724638,3,19,21.5,19,26,2.653846154,56.166,8.023714286,2.047142857,0.957142857,2.764285714,0.904285714,B,B,B,NA,B,69,B,A,,,,
2014,F6,107,10,100,3.25,1,43,46,6.52173913,6.52173913,1,16,13.5,14,18,2.555555556,123.309,12.3309,2.612,0.994,2.872222222,0.681111111,A,B,A,A,A,46,A,A,,,,
2014,F6,108,9,90,3,1,40,74,45.94594595,45.94594595,1,14.5,23,13,21,3.523809524,124.5,13.83333333,2.63875,1.22375,2.976666667,0.812222222,A,B,A,NA,B,74,B,B,,,,
2014,F6,109,5,50,3.5,1,37,43,13.95348837,13.95348837,4,13.5,15.5,21,NA,NA,37.66,7.532,2.51,0.892,3.148,0.748,A,B,B,A,B,43,A,B,,,,
2014,F6,110,6,60,4.25,1,30,67,55.2238806,55.2238806,NA,12.5,19,17,19,3.526315789,63.378,10.563,2.061666667,0.921666667,2.453333333,0.875,B,B,B,B,B,67,B,B,,,,
2014,F6,111,4,40,4.666666667,1,20,69,71.01449275,71.01449275,NA,17,22.5,17,24,2.875,94.285,23.57125,2.575,1.3525,3.445,0.89,B,B,B,A,B,69,B,B,,,,
2014,F6,112,1,10,2.5,2,12,37,67.56756757,NA,NA,9,9.5,NA,NA,NA,7.574,7.574,2.07,1.21,2.48,1.2,NA,NA,NA,A,B,37,A,A,,,,
2014,F6,113,10,100,5,1,46,47,2.127659574,2.127659574,4,13.5,13.5,20,25,1.88,138.742,13.8742,2.063333333,0.641111111,3.025,0.57625,A,B,B,NA,B,47,A,A,,,,
2014,F6,114,5,50,4.125,1,25,40,37.5,37.5,4,16.5,15.5,19.25,23,1.739130435,33.99,6.798,2.12,0.926,2.783333333,0.96,A,B,B,A,B,40,A,B,,,,
2014,F6,115,7,70,2.25,1,32,60.5,47.10743802,47.10743802,1,14.5,20.5,14,21,2.880952381,52.101,7.443,2.378571429,1.04,2.7,0.701666667,A,B,A,B,A,60.5,B,B,,,,
2014,F5,116,10,100,4.2,1,17.5,48.5,63.91752577,63.91752577,NA,12,23,18,22,2.204545455,143.852,14.3852,2.773,1.08,3.263,0.706,B,B,B,A,B,48.5,A,B,,,,
2014,F6,117,6,60,3.75,2,30.5,70.5,56.73758865,NA,4,13,17.5,22,29.5,2.389830508,25.227,4.2045,2.14,0.935,2.092,0.792,B,A,B,B,B,70.5,B,A,,,,
2014,F6,118,9,90,4.75,1,18.5,40.5,54.32098765,54.32098765,NA,13,15,18,22,1.840909091,89.558,9.950888889,2.495555556,0.871111111,2.5775,0.76125,B,B,B,A,A,40.5,A,B,,,,
2014,F6,119,3,30,NA,2,18,32,43.75,NA,NA,15,18.5,17,23,1.391304348,43.144,14.38133333,2.42,0.926666667,2.86,0.815,B,A,B,A,B,32,A,B,,,,
2014,F6,120,3,30,1.5,2,12,29,58.62068966,NA,NA,10.5,9,22,25,1.16,8.502,2.834,2.186666667,1.106666667,2.19,1.123333333,NA,NA,NA,A,A,29,A,A,,,,
2014,F6,121,2,20,2.333333333,1,19,32,40.625,40.625,3,12,12.5,18,21,1.523809524,40.461,20.2305,2.53,0.97,3.18,1.015,B,B,B,A,B,32,A,B,,,,
2014,F6,122,10,100,4,1,37,72,48.61111111,48.61111111,2,15.5,21.5,17,26,2.769230769,129.136,12.9136,NA,NA,NA,NA,B,A,A,B,NA,72,B,A,,,,
2014,F6,123,4,40,4.5,2,18,42,57.14285714,NA,NA,19,19.5,17,23,1.826086957,91.582,22.8955,2.5375,1.1075,3.0325,0.745,B,B,B,A,NA,42,A,B,,,,
2014,F6,124,9,90,3.75,1,30,37,18.91891892,18.91891892,3,16,15.5,23,26,1.423076923,56.755,6.306111111,2.328888889,0.885555556,3,0.851428571,A,A,B,NA,NA,37,A,B,,,,
2014,F6,125,7,70,3,1,45,60,25,25,4,16,16,21,25,2.4,33.026,4.718,1.83,0.891428571,2.492,0.964,B,A,B,B,B,60,B,A,,,,
2014,F4,126,7,70,4,1,42.5,65,34.61538462,34.61538462,4,16,22,24,27,2.407407407,110.864,15.83771429,2.13,0.802857143,3.017142857,0.761428571,A,B,B,NA,B,65,B,A,,,,
2014,F6,127,3,30,6,1,44,70,37.14285714,37.14285714,4,19,21,26,30,2.333333333,59.223,19.741,2.183333333,1.006666667,3.473333333,0.956666667,A,B,B,B,B,70,B,A,,,,
