line #,average lodging Moccasin 2015,AVERAGE HEIGHT Moccasin 2015,Yield,% GERMINATION AVG with bad germinating lines left in and adjusted for seeds planted,% germ avg with bad germ lines removed and adjusted for seeds planted,# of branch,plants harvested,% Lodging,% Lodging with bad germinating lines included,Average height,average length (Median 2015=40NA45cm),Mat time,tendril width,tendril Length,Nodes 1st flow,max nodes,runt?,main stem DIAm avg,Main stem comp. avg,tiller Diam AVG,tiller compressed avg,Root compressed avg,"avg main, side brnch+root",white flow?,black hilum LG 6 delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late 2015,average length 2015,tall/dwf based on grnhouse data+ field 2015,AVERAGE HEIGHT Moccasin 2015 (43NA58),,Afila 2015,afilaNAdwf only
116,16.85015203,42.16666667,31.39533333,76.66666667,76.66666667,2.583333333,3.333333333,32.13747228,32.13747228,25.33333333,37.16666667,2,5.666666667,13.5,24,28,2,2.5575,1.01875,2.693333333,0.971666667,1.995416667,2.415416667,B,B,B,A,B,37.16666667,A,42.16666667,116,B,
117,38.51004851,68,21.364,50,60,2.5,2.5,52.12962963,52.12962963,30,60.75,2.833333333,15.66666667,15.16666667,20,26,2,1.8325,1.0275,2.09,1.105,2.14,2.020833333,B,A,B,B,B,60.75,B,68,117,A,
118,29.44635759,33.94444444,22.717,100,100,2.053333333,3.666666667,34.3510467,34.3510467,19.05555556,29.16666667,1.666666667,8,14,17,21,1,2.106111111,0.800277778,2.27,0.832777778,1.725833333,2.033981481,B,B,B,A,A,29.16666667,A,33.94444444,118,B,
119,10.80975063,39.83333333,6.54,62.03703704,77.77777778,3.875,3.5,39.28833456,39.28833456,15.5,26.25,3,5.5,11.5,17,25,1,2.071666667,0.901666667,2.315,0.8,1.99375,2.126805556,B,A,B,A,B,26.25,A,39.83333333,119,B,
120,,,41.52,20,#DIV/0!,NA,NA,NA,,NA,NA,2,13,16,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,A,,120,A,
121,24.62692311,33.16666667,NA,60,90,4,3,NA,,NA,NA,2,4,10.75,17,23,1,NA,NA,NA,NA,NA,NA,B,B,B,A,B,NA,A,33.16666667,121,B,
122,41.75186447,77.66666667,22.7635,70.74074074,95,1.625,4,53.57142857,53.57142857,24.5,53,1.5,16.5,19.5,15,19,1,2.02125,0.69375,2,0.6675,1.56125,1.860833333,B,A,A,B,NA,53,B,77.66666667,122,A,
123,9.3331014,40.33333333,23.533,54.16666667,100,2.125,3,20.34883721,20.34883721,22.83333333,28.66666667,2.666666667,7.333333333,13.66666667,NA,NA,1,2.096666667,0.65,2.76,0.8,1.535,2.130555556,B,B,B,A,NA,28.66666667,A,40.33333333,123,B,
124,14.44703807,32,35.91133333,100,100,2.666666667,4,32.66308244,32.66308244,19.55555556,28.66666667,1.833333333,6.5,13,15,23,1,2.451944444,1.029444444,2.326944444,0.726944444,2.126944444,2.301944444,A,A,B,NA,NA,28.66666667,A,32,124,B,
125,49.38596491,78.16666667,19.821,53.33333333,100,2.375,3,57.63237728,57.63237728,26.25,61.5,2.833333333,15.83333333,15.66666667,24,26,2,1.71375,0.998333333,2.191666667,0.888333333,1.712916667,1.872777778,B,A,B,B,B,61.5,B,78.16666667,125,A,
