line #,average lodging Moccasin 2015,AVERAGE HEIGHT Moccasin 2015,Yield,% GERMINATION AVG with bad germinating lines left in and adjusted for seeds planted,% germ avg with bad germ lines removed and adjusted for seeds planted,# of branch,plants harvested,% Lodging,% Lodging with bad germinating lines included,Average height,average length (Median 2015=40NA45cm),Mat time,tendril width,tendril Length,Nodes 1st flow,max nodes,runt?,main stem DIAm avg,Main stem comp. avg,tiller Diam AVG,tiller compressed avg,Root compressed avg,"avg main, side brnch+root",white flow?,black hilum LG 6 delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late 2015,average length 2015,tall/dwf based on grnhouse data+ field 2015,AVERAGE HEIGHT Moccasin 2015 (43NA58),,Afila 2015,afilaNAdwf only
39,44.55883678,65.16666667,27.099,75.83333333,95,1.916666667,3.666666667,69.28921569,69.28921569,16.75,55.5,1.75,18.66666667,18.66666667,19,23,1,1.8175,0.65875,1.95125,0.585,1.40625,1.725,B,B,A,B,B,55.5,B,65.16666667,39,A,
40,23.58200707,31.83333333,19.832,100,100,1.875,4,13.46445825,13.46445825,25.88888889,29.5,1.333333333,13,12.75,12,15,1,2.245416667,0.799166667,2.2825,0.5675,1.75875,2.095555556,B,A,A,A,A,29.5,A,31.83333333,40,A,
41,6.343861899,40.33333333,39.73466667,92.96296296,92.96296296,2.833333333,4,9.380692168,9.380692168,31,34.5,2,15.33333333,13.83333333,14,22,NA,2.686666667,1.363333333,2.756666667,1.303333333,2.21,2.551111111,A,B,B,A,B,34.5,A,40.33333333,41,A,
42,33.63090363,30.83333333,5.7785,74.07407407,100,2.625,4,58.50980392,58.50980392,6.333333333,14.75,2,3.5,8.5,NA,NA,1,1.995,0.5675,1.9625,0.463333333,1.317083333,1.758194444,B,A,A,B,A,14.75,A,30.83333333,42,B,
43,41.95439045,70,19.14366667,100,100,1.666666667,4,55.01992892,55.01992892,23,54,1.166666667,5.333333333,13.83333333,15,20,1,2.079166667,0.905833333,2.01,0.5625,1.680833333,1.901527778,A,B,A,NA,A,54,B,70,43,B,
44,18.21664009,39.83333333,21.36366667,96.66666667,96.66666667,1.833333333,4,27.18376068,27.18376068,20.5,29.16666667,1.666666667,13.33333333,14.33333333,18,20,1,2.038055556,0.7375,2.229722222,0.651666667,1.730555556,1.999444444,B,A,A,B,NA,29.16666667,A,39.83333333,44,A,
45,8.408679928,39,26.17733333,92.59259259,92.59259259,2.666666667,3.333333333,25.98721011,25.98721011,26.16666667,35.38888889,2,7,15.83333333,17,21,1,2.2625,0.8475,3.038333333,1.093333333,2.142222222,2.481018519,A,B,B,A,B,35.38888889,A,39,45,B,
46,20.92608541,69,NA,29.62962963,#DIV/0!,2,1.5,NA,58.66666667,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,B,B,B,B,NA,NA,B,69,46,NA,
47,13.45473251,38,56.25233333,80,100,3.443333333,3.666666667,38.55204873,50.70136582,17.44444444,35.94444444,2,5.25,11.16666667,NA,NA,2,2.285,0.94,2.43625,0.87625,2.01875,2.246666667,B,B,B,A,B,35.94444444,A,38,47,B,
48,33.63979443,73.66666667,8.74145,33.33333333,60,2,2,65.15151515,65.15151515,23,66,3,7,18.5,NA,NA,2,1.978333333,0.63,2.445,0.875,1.924166667,1.990833333,B,A,B,B,NA,66,B,73.66666667,48,B,
49,52.50863369,41.66666667,22.38466667,90,90,1.47,3.666666667,37.70833333,37.70833333,19.77777778,32.38888889,1.166666667,14.66666667,16.5,18,20,1,2.09,0.818333333,2.3025,0.75,1.601666667,1.998055556,B,B,A,A,A,32.38888889,A,41.66666667,49,A,
50,37.72822565,29.94444444,26.77266667,83.33333333,83.33333333,3.165,2.666666667,25.10449694,25.10449694,20.44444444,26.88888889,1.833333333,6.5,12.83333333,13,19,1,2.66375,1.147916667,2.26,0.666666667,2.183333333,2.410416667,B,A,A,NA,A,26.88888889,A,29.94444444,50,B,
51,43.13182915,75.66666667,39.773,96.2962963,96.2962963,3.026666667,3.666666667,48.90388831,48.90388831,28.33333333,55.66666667,2.333333333,5.5,13.66666667,22,27,1,2.10125,0.793333333,2.545833333,0.981666667,1.951666667,2.199583333,A,A,B,A,NA,55.66666667,B,75.66666667,51,B,
52,29.34612651,34.16666667,36.487,88.33333333,88.33333333,3.083333333,3.333333333,31.43498468,31.43498468,17.83333333,26.38888889,2.25,5.666666667,11.83333333,16,22,1,2.36375,0.885416667,2.25375,0.67,1.729583333,2.115694444,A,A,A,A,A,26.38888889,A,34.16666667,52,B,
53,30.5316092,30,32.0675,90,90,2.416666667,3.333333333,21.8105424,17.87369493,21.16666667,27,1,5,13.25,13,18,1,2.76,0.96,2.605,0.625,2.065,2.476666667,A,B,A,A,A,27,A,30,53,B,
54,52.16640014,72.33333333,12.55733333,88.33333333,88.33333333,1.583333333,3.666666667,71.84464785,71.84464785,15,52.83333333,1.166666667,16.66666667,18,16,18,1,1.758333333,0.673888889,2.241111111,0.617777778,1.4325,1.810648148,A,A,A,B,A,52.83333333,B,72.33333333,54,A,
55,58.8652892,63.16666667,24.9075,73.33333333,95,2.193333333,3,76.86533212,76.86533212,12.5,54.16666667,1.5,4.625,18.25,NA,NA,1,2.3025,0.755,2.26,0.64,1.788333333,2.116944444,B,B,A,B,A,54.16666667,B,63.16666667,55,B,
56,51.57963963,64.16666667,39.57666667,93.33333333,93.33333333,1.776666667,2.666666667,70.1504864,70.1504864,18.72222222,61.44444444,1,8,16.83333333,18,20,1,2.58,0.865,2.54,0.583333333,1.923333333,2.347777778,A,A,B,B,A,61.44444444,B,64.16666667,56,B,
57,53.51298247,62.72222222,19.2795,60.37037037,85,1.995,3,71.69966244,71.69966244,17,60.58333333,1,6.5,18,NA,NA,2,1.973333333,0.821666667,1.895,0.64,1.671666667,1.846666667,B,A,A,A,A,60.58333333,B,62.72222222,57,B,
58,57.66598754,69.5,24.94166667,96.66666667,96.66666667,1.416666667,4,71.65242165,71.65242165,17.83333333,62.83333333,1,15.33333333,19.33333333,15,20,2,1.911666667,0.629166667,2.0125,0.525,1.545833333,1.771111111,A,A,A,B,A,62.83333333,B,69.5,58,A,
59,29.45435366,41.83333333,31.528,85.71428571,100,2.125,4,43.57142857,43.57142857,13.16666667,23.33333333,1.25,NA,12,NA,NA,1,2.503333333,0.721666667,2.608333333,0.574166667,1.7625,2.291388889,A,B,A,B,A,23.33333333,A,41.83333333,59,B,
60,2.626273571,42.55555556,73.39,83.33333333,83.33333333,3.443333333,3.666666667,15.80604305,15.80604305,34.66666667,41.16666667,2.666666667,8,13.66666667,18,26,1,2.771666667,1.397222222,2.7875,0.920833333,2.400833333,2.653333333,A,B,B,A,B,41.16666667,A,42.55555556,60,NA,
61,8.047518734,39.33333333,25.688,80,100,2.875,4,21.98862149,21.98862149,25.83333333,33,2,14.83333333,12.33333333,18,25,1,2.165833333,0.915833333,2.450277778,0.956944444,2.370555556,2.328888889,A,A,B,A,B,33,A,39.33333333,61,A,
62,49.36129941,68,43.06866667,76.66666667,76.66666667,3.22,3.333333333,45.26171445,45.26171445,32,58.16666667,2.666666667,4.833333333,15,19,26,1,2.046666667,0.92,2.359166667,0.9975,2.236944444,2.214259259,B,B,B,B,NA,58.16666667,B,68,62,B,
63,11.99226699,40.5,14.656,93.33333333,93.33333333,2.58,3.333333333,31.60196739,31.60196739,18.72222222,26.44444444,1.5,13,13.33333333,16,22,1,2.052777778,0.706666667,2.188888889,0.651111111,1.5425,1.928055556,B,A,A,A,A,26.44444444,A,40.5,63,A,
64,30.20389076,41.5,16.90066667,93.33333333,93.33333333,1.75,4,42.4460184,42.4460184,16.83333333,29.27777778,1.166666667,14.33333333,14.83333333,20,22,1,2.393333333,0.813333333,2.175,0.66,1.705555556,2.07537037,B,A,A,A,A,29.27777778,A,41.5,64,A,
65,19.18786693,71.5,20.683,86.66666667,100,2.125,4,50.51569917,50.51569917,27.22222222,54.61111111,2.333333333,14.66666667,15.16666667,NA,NA,1,1.676666667,0.534166667,2.03,0.60625,1.425,1.710555556,B,A,B,B,A,54.61111111,B,71.5,65,A,
66,19.00886382,34.33333333,32.897,90,90,4.693333333,3.666666667,18.89617704,18.89617704,22.38888889,27.83333333,2,3,9.5,16,19,1,2.157222222,0.742222222,2.498333333,0.755,2.230833333,2.295462963,A,B,A,B,B,27.83333333,A,34.33333333,66,B,
67,51.0708729,74.55555556,24.639,70,85,2,3.5,66.11111111,66.11111111,17.16666667,53.33333333,1.833333333,16.5,18.83333333,19,23,2,2.02875,0.5975,2.301666667,0.663333333,1.6425,1.990972222,B,B,A,A,A,53.33333333,B,74.55555556,67,A,
68,30.74688406,78.33333333,29.143,96.66666667,96.66666667,2.083333333,3.333333333,50.52414117,50.52414117,34.44444444,70.77777778,2.583333333,17.33333333,18,19,27,1,2.32125,0.7075,2.323333333,0.65875,1.94625,2.196944444,A,A,B,B,B,70.77777778,B,78.33333333,68,A,
69,55.70767692,44.75,16.393,73.33333333,85,2.625,2.666666667,43.72004357,43.72004357,20.77777778,37.5,1.333333333,16.66666667,17.16666667,13,17,1,2.4525,0.8825,3.181666667,0.84,2.181666667,2.605277778,B,B,A,B,A,37.5,A,44.75,69,A,
70,22.47167726,41.16666667,27.20833333,90,90,3.166666667,3.333333333,13.65809619,13.65809619,25.88888889,29.94444444,2.333333333,10,10.5,18,NA,1,2.057222222,0.723055556,2.198333333,0.683333333,1.661388889,1.972314815,A,B,B,A,B,29.94444444,A,41.16666667,70,A,
71,52.50004876,76.5,14.09933333,85,85,1.553333333,3.666666667,67.67607677,67.67607677,18.33333333,58.05555556,1.666666667,17.33333333,17.16666667,17,19,1,1.761111111,0.470277778,1.829166667,0.495833333,1.273055556,1.594953704,B,A,B,B,A,58.05555556,B,76.5,71,A,
72,53.88083499,74.83333333,24.807,100,100,1.666666667,4,53.56943781,53.56943781,23.66666667,53.16666667,1,13,17.66666667,14,17,1,1.879444444,0.678611111,2.099444444,0.640833333,1.690833333,1.889907407,A,A,A,B,A,53.16666667,B,74.83333333,72,A,
73,41.4299638,33.66666667,11.08666667,90,90,2.333333333,4,42.85425777,42.85425777,9.277777778,16.38888889,1,3.25,11.33333333,13,15,1,1.967222222,0.463333333,1.980555556,0.475,1.440555556,1.796111111,A,B,A,B,A,16.38888889,A,33.66666667,73,B,
74,15.36424667,39.16666667,29.9655,76.66666667,95,4.375,4,20.2020202,20.2020202,21.75,27.25,2,10,9.833333333,23,28,2,1.9575,0.71375,2.242083333,0.780416667,2.16375,2.121111111,B,B,B,B,B,27.25,A,39.16666667,74,A,
75,22.12095921,63.33333333,32.37833333,80,80,3.553333333,3,42.97058239,42.97058239,31.72222222,57.83333333,2.75,5,13.66666667,NA,NA,1,1.933333333,0.859444444,2.166666667,0.795,2.435555556,2.178518519,A,A,B,B,B,57.83333333,B,63.33333333,75,B,
76,42.13164049,38,10.76833333,90,90,2.11,3.666666667,52.53096577,52.53096577,9.055555556,19.5,2,4.666666667,11.16666667,16,18,1,1.946666667,0.671666667,2.239166667,0.721666667,1.6225,1.936111111,B,B,A,B,A,19.5,A,38,76,B,
77,30.75535853,37.5,NA,100,100,1.666666667,3.666666667,64.33277264,64.33277264,7.222222222,20.61111111,1,5,13.5,17,18,1,2.218055556,0.731111111,1.805,0.48,1.498888889,1.851944444,A,B,A,B,A,20.61111111,A,37.5,77,B,
78,40.96405229,72.66666667,26.475,80,80,1.875,3,33.07614645,33.07614645,30,45.66666667,2,5.333333333,13.66666667,17,23,1,2.03,0.8825,2.565,0.89,1.89,2.161666667,A,A,B,B,B,45.66666667,B,72.66666667,78,B,
79,3.947368421,35.5,28.0045,80,80,2.58,2.5,19.64656965,19.64656965,28,34.75,2.75,13.5,10.5,NA,NA,NA,2.0975,0.9575,2.49,1,2.2075,2.265,A,B,A,A,B,34.75,A,35.5,79,A,
80,50.78358606,87,38.551,92.96296296,92.96296296,3.72,3.666666667,42.73472386,42.73472386,35.33333333,62.33333333,2.833333333,12.66666667,13.83333333,20,27,1,1.930277778,0.696944444,2.421666667,0.770833333,1.960277778,2.104074074,A,B,A,B,B,62.33333333,B,87,80,A,
81,24.65309201,39.33333333,17.87233333,100,100,2.166666667,4,15.40410963,15.40410963,22.61111111,26.5,1,12,11.5,14,16,1,2.067916667,0.670416667,2.075,0.575,1.584583333,1.909166667,A,B,A,A,A,26.5,A,39.33333333,81,A,
82,28.98793871,74.66666667,21.885,93.33333333,93.33333333,2.776666667,3.666666667,29.91194843,29.91194843,34.38888889,49,2.666666667,14.33333333,14.33333333,19,24,1,1.610833333,0.542777778,2.146388889,0.656666667,1.645555556,1.800925926,A,A,B,B,B,49,B,74.66666667,82,A,
83,10.9079517,38.16666667,40.28433333,100,100,3.416666667,4,8.517408517,8.517408517,26.83333333,29.16666667,2,4.416666667,12.16666667,12,18,1,2.2975,1.030833333,2.481666667,0.823333333,2.103333333,2.294166667,A,B,A,A,B,29.16666667,A,38.16666667,83,B,
84,29.37646002,76.88888889,12.7265,76.66666667,100,1.875,4,39.57373272,39.57373272,34.75,57.25,2.333333333,17.33333333,17.83333333,13,20,1,1.98,0.706666667,2.451666667,0.938333333,1.795,2.1,B,B,B,B,B,57.25,B,76.88888889,84,A,
85,17.05874572,34.33333333,27.406,96.66666667,96.66666667,2.276666667,3.666666667,31.21948384,31.21948384,19.77777778,28.83333333,1.166666667,6.833333333,14.33333333,15,19,1,2.447222222,1.095,2.28,0.62,1.880833333,2.202685185,A,A,A,A,A,28.83333333,A,34.33333333,85,B,
86,22.50330688,32.5,38.9805,70,90,3.136666667,2.666666667,47.67062508,47.67062508,18.41666667,35.91666667,2.333333333,5.666666667,14.16666667,18,23,NA,2.470833333,0.9925,2.12,0.739166667,1.778166667,2.123,B,B,B,A,B,35.91666667,A,32.5,86,B,
87,20.68923503,42.33333333,29.744,96.66666667,96.66666667,2.25,4,39.47622825,39.47622825,20.5,34.5,2.166666667,7,15.16666667,23,25,1,2.411388889,0.909444444,2.691111111,0.8,1.979166667,2.360555556,A,B,B,A,B,34.5,A,42.33333333,87,B,
88,13.30905269,42.66666667,30.0565,55.92592593,90,3.66,2.5,20.51282051,28.67746289,24.5,33.75,2.166666667,5.333333333,13.33333333,23,28,NA,2.355,1.065,2.9,0.943333333,2.58,2.611666667,B,B,B,A,B,33.75,A,42.66666667,88,B,
89,55.25614969,70.66666667,38.064,100,100,2.333333333,4,44.91757529,44.91757529,28.16666667,51.05555556,2.166666667,6.333333333,15,21,26,1,2.31125,0.96625,2.62125,0.91375,2.05,2.3275,B,A,B,B,B,51.05555556,B,70.66666667,89,B,
90,38.18341033,37.66666667,22.81333333,100,100,2.416666667,4,39.79941193,39.79941193,18.22222222,30.38888889,1,6,14.33333333,18,21,1,2.583611111,0.989166667,2.425,0.606666667,1.740555556,2.238611111,B,B,A,NA,A,30.38888889,A,37.66666667,90,B,
91,53.66260003,65.5,16.295,50,90,2.33,3,53.94736842,53.94736842,17.5,38,1,6,17.5,NA,NA,2,2.023333333,0.743333333,NA,NA,1.26,1.641666667,B,B,A,A,A,38,A,65.5,91,B,
92,35.12709513,71.33333333,43.304,80,80,2.583333333,3.333333333,58.46130684,58.46130684,25.61111111,59.16666667,2.666666667,6.333333333,16.5,23,24,1,1.826666667,0.906666667,2.335833333,0.909444444,2.17,2.110833333,B,B,B,B,NA,59.16666667,B,71.33333333,92,B,
93,41.61324786,75,NA,56.66666667,100,1,4,NA,,NA,NA,2.75,6,15.5,NA,NA,2,NA,NA,NA,NA,NA,NA,B,B,B,B,NA,NA,B,75,93,B,
94,7.668128655,36.16666667,21.97566667,100,100,3.11,3.666666667,21.80875919,21.80875919,19.83333333,25.5,2.333333333,12,10.66666667,19,21,1,2.063888889,0.725833333,2.237222222,0.671388889,2.026666667,2.109259259,B,B,B,B,B,25.5,A,36.16666667,94,A,
95,47.97619048,71.16666667,12.228,30.55555556,#DIV/0!,NA,NA,61.41732283,61.41732283,24.5,63.5,3,3.666666667,13.33333333,NA,NA,2,1.875,0.835,2.32,0.95,2.52,2.238333333,B,A,B,B,NA,63.5,B,71.16666667,95,B,
96,56.16216543,76.77777778,24.4934,90,90,2.5,4,54.34003082,54.34003082,23.61111111,51.44444444,2.666666667,5.666666667,14.16666667,19,24,2,2.04,1.079722222,2.166666667,0.898333333,1.813333333,1.977592593,B,A,B,B,B,51.44444444,B,76.77777778,96,B,
97,10.48731734,48.33333333,18.16866667,73.33333333,73.33333333,3.083333333,2.333333333,31.5659858,31.5659858,23,33.66666667,2,5.5,12,20,28,2,2.538333333,1.134166667,2.2725,0.85,2.518333333,2.443055556,B,NA,B,A,B,33.66666667,A,48.33333333,97,NA,
98,12.59615385,39.5,27.09466667,86.66666667,86.66666667,3.583333333,3.333333333,30.18810425,30.18810425,22.27777778,31.72222222,2.166666667,12.5,11.66666667,19,21,2,2.096666667,0.83,2.212611111,0.752222222,1.965277778,2.091518519,B,A,B,B,B,31.72222222,A,39.5,98,A,
99,36.69719899,76.83333333,NA,23.14814815,#DIV/0!,NA,NA,NA,,NA,NA,2.333333333,15.33333333,13.83333333,NA,NA,2,NA,NA,NA,NA,NA,NA,B,B,B,B,B,NA,B,76.83333333,99,A,
100,56.82531105,67.83333333,25.984,70,70,1.666666667,2.333333333,62.40931915,62.40931915,17.77777778,49.27777778,2.666666667,6,16.66666667,21,25,1,2.175,1.15,2.5,1.1,2.23,2.301666667,B,A,B,A,A,49.27777778,NA,67.83333333,100,B,
101,7.525351361,39.66666667,22.713,76.66666667,100,2.625,4,17.91044776,17.91044776,27.5,33.5,2,12.66666667,13,18,23,1,2.4825,0.839166667,2.345,0.836666667,2.076666667,2.301388889,B,B,B,B,B,33.5,A,39.66666667,101,A,
102,,,NA,25,#DIV/0!,NA,NA,NA,,NA,NA,1.5,4,10,20,28,1,NA,NA,NA,NA,NA,NA,B,A,B,A,A,NA,,,102,B,
103,36.10219893,75.83333333,2.658,68.05555556,87.5,1.5,2,55.46875,55.46875,28.5,64,3,12,14.33333333,18.5,28,2,1.77,0.76,1.43,0.43,1.98,1.726666667,B,B,B,B,B,64,B,75.83333333,103,A,
104,40.84046146,67.33333333,32.86156667,71.85185185,71.85185185,2.833333333,3.333333333,55.04618123,55.04618123,27.22222222,63.33333333,2.666666667,7.333333333,15.16666667,20,27,1,2.185555556,0.923888889,2.313333333,0.9125,2.683333333,2.394074074,B,NA,NA,B,B,63.33333333,B,67.33333333,104,B,
105,25.95863527,34.16666667,25.721,86.66666667,86.66666667,1.97,3.333333333,31.53164988,31.53164988,17.66666667,26.83333333,2,7.333333333,16,13,16,1,2.727916667,1.18875,2.603333333,0.905,2.398333333,2.576527778,B,B,B,A,NA,26.83333333,A,34.16666667,105,B,
106,41.44615864,82.66666667,16.53466667,83.33333333,83.33333333,2.303333333,3.666666667,60.0974026,60.0974026,31.33333333,79.33333333,3,14.66666667,16,20,29,1,2.167222222,0.887777778,2.408055556,0.97,2.673333333,2.416203704,B,B,B,NA,B,79.33333333,B,82.66666667,106,A,
107,22.89437106,35,29.414,93.33333333,93.33333333,2.5,3.333333333,5.375571281,5.375571281,31.66666667,33.33333333,1,13.33333333,14.16666667,15,17,1,2.19,1.19,2.766666667,0.85,2.103333333,2.353333333,A,B,A,A,A,33.33333333,A,35,107,A,
108,62.89437969,58.66666667,19.99666667,90,90,1.803333333,3.333333333,62.13236959,62.13236959,17.61111111,45.27777778,1.333333333,8,15.5,15,17,1,1.988333333,0.737777778,2.454444444,0.6,1.593333333,2.012037037,A,B,A,NA,B,45.27777778,NA,58.66666667,108,B,
109,16.16373822,38.83333333,22.31076667,78.14814815,78.14814815,3.5,2.333333333,50.12054522,50.12054522,18.5,38.16666667,2.666666667,6.666666667,13.66666667,18,23,1,2.565555556,1.067222222,2.321666667,0.986666667,2.138333333,2.341851852,A,B,B,A,B,38.16666667,A,38.83333333,109,B,
110,36.86635945,67.75,39.8115,53.33333333,60,3.16,2.333333333,58.51124666,58.51124666,21.75,52,2.666666667,7.083333333,15.16666667,21,25,1,2.13,0.945,2.248333333,0.895833333,2.483333333,2.287222222,B,B,B,B,B,52,B,67.75,110,B,
111,17.97405672,38,45.6995,76.66666667,100,3.333333333,3.333333333,15.43120155,15.43120155,22.25,26.33333333,2,5.333333333,14.33333333,14,22,1,2.382916667,0.735416667,2.47125,0.64875,1.835,2.229722222,B,B,B,A,B,26.33333333,A,38,111,B,
112,19.87654321,41.5,33.2528,43.33333333,60,3,3,9.314903846,9.314903846,32.25,35.5,2.5,10.83333333,11.33333333,22,26,2,1.633333333,0.806666667,1.603333333,0.66,2.156666667,1.797777778,B,NA,NA,A,B,35.5,A,41.5,112,A,
113,5.000784683,40.83333333,34.87433333,100,100,4.166666667,4,24.77886829,24.77886829,31.66666667,43.05555556,2.666666667,11.33333333,11,19,37,NA,2.248611111,0.841388889,2.463333333,0.872222222,2.500277778,2.404074074,A,B,B,NA,B,43.05555556,A,40.83333333,113,A,
114,10.52573319,38.66666667,22.58,43.33333333,90,2.75,4,30,30,21,30,2.5,5.666666667,11.33333333,20,24,2,2.01,0.765,2.046666667,0.863333333,1.54,1.865555556,A,B,B,A,B,30,A,38.66666667,114,B,
115,66.34385869,60.5,23.3355,96.2962963,96.2962963,1.5,4,55.6268568,55.6268568,22.94444444,52.05555556,1,6,15.33333333,15,19,1,2.184166667,0.870833333,1.67,0.413333333,1.502222222,1.785462963,A,B,A,B,A,52.05555556,B,60.5,115,B,
