Line_name,planting_generation,GerminateNABozemanNA2016,Unknown,dpo_boze_2016,plants_harvestedNA_Boze_2016,Avg_brnch_numb_boz_2016,avg_height_boze_2016,avg_length_boze_2016,pctg_Lodging_boze_2016,Mat_time_boze_2016,bif_boze_2016,avg_tend_length_boze_2016,Avg_Main_stem_diam_boze_2016,avg_comp_mn_stm_dia_boze_2016,avg_branch_diam_boze_2016,avg_comp_brnch_diam_boze_2016,avg_root_diam_boze_2016,Yield_boze_2016,white_flow_2016_boze,afila_2016_boze_
59,F7,25,100,2,5,2,33,34,2.941176471,2,1,14.66666667,1.966,0.778,2.063333333,0.573333333,1.51,,A,NA
60,F7,24,96,1,5,2.6,40.33333333,59.33333333,32.02247191,3,4,15.5,2.085,0.8525,2.6675,0.6925,1.492,,A,NA
61,F7,23,92,1,5,2.4,47,51.33333333,8.441558442,3,4,13.25,1.893333333,0.78,2.012,0.776,1.564,,A,A
62,F6,21,84,1,3,1.333333333,38,69,44.92753623,3,4,15,1.82,0.933333333,2.39,0.88,1.57,,B,B
63,F7,23,92,1,5,2,29,29.5,1.694915254,1,1,13.66666667,2.005,0.8,2.1025,0.7075,1.44,,,A
64,F7,14,56,1,2,2.5,29.33333333,32.66666667,10.20408163,,3,14.25,2.36,1.075,2.485,0.955,2.15,,B,A
65,F7,21,84,1,5,1,23,63,63.49206349,2,3,17.5,,,,,,NA,B,A
66,F7,25,100,1,5,2,34.33333333,41.66666667,17.6,1,3,10.5,2.048,0.902,2.0825,0.6625,1.668,,A,B
67,F7,18,72,1,5,1.6,38.33333333,47,18.43971631,1,1.5,13.66666667,2.098,0.992,2.025,0.755,1.476,,B,A
68,F7,25,100,1,5,1.8,44,85.33333333,48.4375,2.5,4,18.33333333,1.79,0.6175,2.1075,0.64,1.472,,A,A
69,F7 or F6,22,88,1,5,1.4,40.66666667,45.66666667,10.94890511,2,1,15.5,2.01,0.846,1.835,0.57,1.376,,,A
70,F7,24,96,1,5,2.6,40.33333333,45,10.37037037,3,4,13,1.705,0.7025,2.138,0.638,1.675,,A,A
71,F7,21,84,1,5,1.2,36.66666667,79,53.58649789,3,1,18.5,1.856,0.748,,,1.168,,B,A
72,F6,25,100,1,5,1.4,23.33333333,66,64.64646465,2,1,14.75,1.786,0.946,1.85,0.72,1.394,,A,A
73,F7,24,96,1,5,2,27.33333333,32,14.58333333,2,1.25,11,1.862,0.918,1.9,0.68,1.522,,A,B
74,F7,24,96,1,5,2,42,46.33333333,9.352517986,3,3,13.75,1.704,0.868,1.883333333,0.733333333,1.4525,,B,A
75,F7,25,100,1,5,2.4,41.66666667,76,45.1754386,3,3.75,15,1.88,0.856,2.0025,0.6975,1.628,,A,B
76,F7,19,76,1,4,1.5,24.33333333,30.33333333,19.78021978,2,1.5,13.16666667,2.055,0.8875,2.49,0.983333333,1.7075,,B,B
77,F7,25,100,1,5,1.2,29.66666667,37,19.81981982,1.5,1,14.75,2.13,0.886,2.68,0.7,1.388,,A,B
78,F7,21,84,1,5,2.2,40.33333333,67,39.80099502,2,2,17.33333333,1.786,1,2.31,0.945,1.638,,A,B
79,F7,23,92,1,5,2.6,39,67,41.79104478,1,3,11.5,1.7375,0.7425,2.255,0.6625,1.67,,A,A
80,F7,24,96,1,5,2.6,40.5,95.5,57.59162304,1,3,15.75,1.38,0.495,1.82,0.652,1.378,,A,A
81,F7,25,100,1,5,2.4,33.5,34,1.470588235,1,1,11.75,1.906,0.874,1.613333333,0.5375,1.5,,A,A
82,F7,24,96,1,4,2.5,32.66666667,68,51.96078431,2,2.75,17.25,1.57,0.763333333,2.253333333,0.746666667,1.85,,A,A
83,F7,24,96,1,5,2,40,47,14.89361702,2,3.75,14.16666667,2.084,0.834,2.445,0.8325,1.5,,A,B
84,F7,23,92,1,4,2.25,46,50.33333333,8.609271523,1,1,17.25,1.89,0.51,2.4425,0.5775,1.4875,,B,A
85,F7,25,100,1,5,2.4,29.33333333,33,11.11111111,1,1,14,1.918,0.802,2.164,0.62,1.27,,A,B
86,F7,25,100,1,5,2.2,34.66666667,38.33333333,9.565217391,1,1,16,2.1675,0.8425,2.3725,0.665,1.3525,,B,B
87,F7,25,100,1,5,2.6,35.66666667,38.33333333,6.956521739,1.5,1.25,15,2.186,0.864,2.5725,0.6675,1.654,,A,B
88,F6,23,92,1,4,2,32.33333333,37,12.61261261,2.5,1.25,15.16666667,2.1675,0.955,2.195,0.615,1.725,,B,B
89,F7,25,100,1,4,2.25,39,53,26.41509434,1,1.25,15.66666667,1.8375,0.6675,2.2775,0.7,1.6775,,B,B
90,F7,25,100,1,5,1.4,28,31.33333333,10.63829787,1,1.5,13.33333333,2.102,0.682,2.08,0.39,1.286,,B,B
91,F6,24,96,1,4,1.25,30,65,53.84615385,1,1,19.66666667,2.013333333,1.11,2.15,0.73,1.333333333,,B,B
92,F7,24,96,1,5,1.8,45,88,48.86363636,1,4,19.25,1.8425,0.8875,2.23,0.81,1.5075,,B,B
93,F7,21,84,1,4,1,30,70.66666667,57.54716981,2,2.25,16.66666667,2.1075,0.9175,,,1.62,,B,B
94,F7,22,88,1,4,1.75,35.33333333,41.33333333,14.51612903,1.5,3,14.5,1.9475,0.885,2.18,0.72,1.476666667,,B,A
95,F7,20,80,1,5,1.8,19,64.33333333,70.46632124,2,2.5,15.83333333,1.732,0.854,1.895,0.77,1.638,,B,B
96,F7,24,96,1,4,1.5,32.5,70.5,53.90070922,2.5,2.5,13,1.8575,0.88,2.08,0.685,1.9175,,B,B
97,F7,20,80,1,4,1.5,33.33333333,41.66666667,20,1.5,3.5,14.25,2.165,0.835,2.59,1.12,1.5175,,B,B
98,F7,23,92,1,5,2,35,39.33333333,11.01694915,1,2.5,12.66666667,1.6425,0.6275,2.106,0.682,1.3775,,B,A
99,,,,,,,,,,,,,,,,,,,,
100,F7,17,68,1,4,1.25,22,63,65.07936508,2,3,18.25,1.896666667,0.98,2.17,1.21,1.536666667,,B,B
101,F7,24,96,1,5,2.4,30.66666667,36.33333333,15.59633028,1,1,10.25,,,,,,,B,A
102,,,,,,,,,,,,,,,,,,,,
103,F7,24,96,1,5,1.4,37,58.33333333,36.57142857,1,3,18.25,1.816,0.904,2.23,1.04,1.438,,B,A
104,F6,23,92,1,5,1,28.33333333,64.66666667,56.18556701,2,3.75,16.5,1.82,0.934,,,1.256,,B,B
105,F7,19,76,1,4,1.25,20.33333333,32,36.45833333,2,2,13.75,2.39,1.516666667,,,1.833333333,,B,B
106,F7,25,100,1,5,1.6,37.33333333,77.33333333,51.72413793,4,2.75,14,1.91,0.814,2.175,0.895,1.692,,B,A
107,F7,24,96,1,5,1.4,29.66666667,31,4.301075269,1,1,11.25,1.832,0.626,1.86,0.5,1.21,,A,A
108,F7,24,96,1,5,1.2,20.33333333,52,60.8974359,1,1,15.5,1.94,1.14,2.01,0.67,1.478,,A,B
109,F7,25,100,1,5,1.2,34.33333333,37.66666667,8.849557522,1,1,11.83333333,1.895,0.8025,2.245,0.805,1.346,,A,B
110,F7,25,100,1,5,1.8,37.25,61.25,39.18367347,2,1.5,15,1.832,1.042,1.736666667,0.803333333,1.5075,,B,B
111,F7,20,80,1,4,1.5,27,35,22.85714286,2,2.5,13.75,2.14,1.03,2.256666667,0.723333333,1.33,,B,B
112,F7,22,88,1,4,1.5,31,40,22.5,3,1.5,12.25,1.6225,0.9675,1.843333333,0.926666667,1.29,,B,A
113,F7,23,92,1,5,2.4,34.33333333,36.66666667,6.363636364,2,3,10.5,1.736,0.738,2.085,0.635,1.295,,A,A
114,F7,25,100,1,5,2.8,37.66666667,41,8.130081301,1.5,2,11.83333333,1.762,0.924,2.198,0.856,1.505,,A,B
115,F7,25,100,1,5,1,33.66666667,59.66666667,43.57541899,1,1.5,16.33333333,1.84,1.1175,,,1.2325,,A,B
116,F6,23,92,1,5,2,24.66666667,36,31.48148148,2,2.25,14.5,2.03,0.81,2.365,0.69,1.425,,B,B
117,F7,24,96,1,5,1.2,41,71.66666667,42.79069767,2.5,2.25,14.83333333,1.49,0.68,1.5,0.58,1.185,,B,A
118,F7,23,92,1,5,1.6,25.66666667,29.66666667,13.48314607,1,1,11.5,2.178,1.104,1.915,0.91,1.528,,B,B
119,F7,22,88,1,5,2.4,26.33333333,30.33333333,13.18681319,2,2.25,13,2.022,1.082,2.1,0.806,1.43,,B,B
120,F6,20,80,1,3,2,32.66666667,39,16.23931624,2,1,14.66666667,1.96,0.82,2.416666667,0.69,1.87,NA,B,A
121,F7,24,96,1,5,2.2,30.75,35,12.14285714,1,2,10.66666667,2.088,1.082,2.222,0.826,1.61,,B,B
122,F7,24,96,1,5,1,45.66666667,70,34.76190476,1.5,1,16.75,1.818,0.93,,,1.334,,B,A
123,F7,16,64,1,3,2.333333333,31,34,8.823529412,1,2,15.5,2.206666667,1.096666667,2.795,0.96,1.606666667,,B,B
124,F6,24,96,1,5,1.6,25,29.66666667,15.73033708,1,3,12.16666667,2.06,1.283333333,2.39,0.98,1.704,,A,B
125,F7,22,88,1,5,1.4,58.5,90.5,35.35911602,2,3,15.5,1.728,0.922,1.94,0.76,1.518,,B,A
126,F5,23,92,1,5,1.4,51,54.66666667,6.707317073,3,3,16.75,2.015,0.61,2.52,0.626666667,1.34,,A,A
127,F7,25,100,1,5,1.6,45.25,91.75,50.68119891,3,3,16,1.788,0.822,2.183333333,0.906666667,1.552,,A,A
128,F7,24,96,1,5,1.8,58.66666667,78.33333333,25.10638298,1,3,16.33333333,1.722,1.058,1.9975,1.0075,1.52,,B,A
129,F7,25,100,1,5,1.4,51.66666667,67.33333333,23.26732673,2.75,1,15.75,2.016666667,0.736666667,2.01,0.73,1.37,,A,A
130,F7,22,88,1,5,1.4,41.25,68.5,39.7810219,1.75,2.5,14.75,1.672,0.82,2.24,0.895,1.35,,B,A
131,F7,25,100,1,5,1.6,33.33333333,35,4.761904762,1,1.5,14.5,1.8825,0.9325,2.0225,0.79,1.266,,A,A
132,F7,24,96,1,5,1.2,56,69.33333333,19.23076923,1,2.5,16,1.495,0.735,1.7225,0.8275,1.1,,B,A
133,F7,21,84,1,5,1,22.33333333,66.33333333,66.33165829,1.5,1,16,1.562,0.652,,,1.026,,B,A
134,F7,25,100,1,5,1,27.66666667,65.33333333,57.65306122,1,1,16.5,1.89,0.865,,,1.29,,A,A
135,F7,22,88,1,5,1.6,24.33333333,42.33333333,42.51968504,2,3,12.75,2.224,1.14,2.21,0.985,1.888,,B,B
136,F7,20,80,1,5,1.8,27,36,25,1,2.5,14.5,2.18,0.894,1.855,0.56,1.432,,B,B
137,F6,,,1,,,,,,,,,,,,,,,B,B
138,F7,24,96,1,5,2,30,67,55.2238806,1,1,14.5,2.015,0.77,2.233333333,0.676666667,1.266,,A,A
139,F7 or F6,23,92,1,5,2.4,29.66666667,36,17.59259259,1,1.25,10.66666667,1.86,0.864,2.27,0.825,1.704,,B,B
140,F7,24,96,1,5,1.8,32,67,52.23880597,1.5,2.5,12.5,1.795,0.87,1.87,0.853333333,1.775,,B,A
141,F6,22,88,1,5,2.4,37.33333333,40.83333333,8.571428571,1.5,2,13.5,1.6525,0.605,1.912,0.606,1.238,,B,A
142,F7,22,88,1,5,1.8,26.33333333,30.33333333,13.18681319,1,2,12,1.974,1.158,1.965,0.8,1.405,,B,B
143,F7,24,96,1,5,2.6,37.33333333,71.33333333,47.6635514,1,2,17.5,1.626666667,0.826666667,2.03,0.81,1.51,,A,A
144,F7,25,100,1,5,1.4,32.66666667,63.33333333,48.42105263,1,2.5,17.5,1.948,0.852,2.23,0.75,1.52,,B,B
145,F7,24,96,1,5,2.4,35,41.5,15.6626506,1,3,13.25,2.15,0.9,2.3775,0.655,1.666,,A,B
146,F7,23,92,1,4,2,38.33333333,41.33333333,7.258064516,1,2,12,1.8675,0.965,2.3625,0.855,1.62,,A,A
147,F7,24,96,1,5,1.8,49,89.66666667,45.35315985,2,4,17,1.9,0.86,2.1,0.8375,1.6225,,A,B
148,F7,13,52,1,2,1.5,36.66666667,44.66666667,17.91044776,1,2,14,2.125,1.12,2.46,0.84,1.8,,B,A
149,F7,24,96,1,5,2,44.66666667,55.33333333,19.27710843,2,2,12.75,1.9925,0.9375,2.246,0.83,1.486,,A,B
150,F7,21,84,1,5,1.2,33.66666667,75,55.11111111,2,4,17.16666667,1.828,0.974,1.81,0.76,1.452,,B,A
151,F7 or F6,25,100,1,,,,,,2,2,18.75,,,,,,,A,B
152,F7,25,100,1,5,1.2,44,92.66666667,52.51798561,2,2,16.5,1.942,0.936,,,1.534,,A,B
