,# of seed,Grams,100 SEED WEIGHT,Height/ length 2013 inches,Length (cm),# of branches 2013,"Strength of base; Weak=1, very strong=4, 2013","Erectness, Fallen=1, erect=4. 2013",width of stem at base (thick or thin)=2013,"early flower, late flower, or indeterminate 2013","Bifurcation (1=no, 2=yes) 2013",White flower 2013,Afila 2013,germination 2013 %,Runt?,Does it look like a good variety,overall rating
Delta,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,A,A,,,,
Rer,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,B,B,,,,
48,NA,NA,NA,21,53.34,4,1,2,2.5,2,1,A,B,60,,1,6.5
49,NA,NA,NA,12,30.48,4,1,1,2,1,1,A,A,20,,1,5
50,NA,NA,NA,12,30.48,4,3,1,2.5,1,1,A,B,60,,1,7.5
51,76,10.873,14.30657895,12,30.48,3,3,2,1,2,1,A,B,60,,1,7
52,NA,NA,NA,6,,1,1,1,1,1,1,B,B,100,yes,1,4
53,NA,NA,NA,18,45.72,1,3,2,1,1,1,A,B,100,,1,7
54,NA,NA,NA,18,45.72,1,1,1,1,1,1,A,A,100,,1,4
55,NA,NA,NA,30,76.2,3,2,1,1,1,1,A,B,80,,1,5
56,29,3.298,11.37241379,18,45.72,2,2,1,2.5,1,1,A,B,60,,1,6.5
57,132,16.078,12.18030303,27,68.58,2,3,1,1,1,1,B,B,80,,1,6
58,47,8.077,17.18510638,30,76.2,3,3,1,1,1,1,B,A,100,,1,6
59,NA,NA,NA,15,38.1,2,3,3,3,1,2,A,B,80,,1,10
60,86,12.565,14.61046512,16,40.64,5,3,2.5,2.5,2,2,A,B,100,,1,9
61,87,8.133,9.348275862,15,38.1,7,1,4,2,2,2,B,B,100,,2,9
62,NA,NA,NA,20,50.8,2,3,1,1,1,1,B,B,100,,1,6
63,66,7.706,11.67575758,12,30.48,4,3,4,1,2,1,B,A,100,,1,9
64,NA,NA,NA,18,45.72,3,1,2,2,2,1,B,A,100,,1,6
65,82,10.909,13.30365854,33,83.82,5,1,3,3,2,1,B,A,100,,1,8
66,69,7.09,10.27536232,12,,4,2,3,3,2,1,A,B,100,yes,1,9
67,NA,NA,NA,13,33.02,3,3,1,1,1,1,B,A,60,,1,6
68,NA,NA,NA,33,83.82,2,3,2,2.5,2,2,B,A,100,,2.5,10
69,26,4.543,17.47307692,24,60.96,3,1,2,1,1,1,B,A,80,,1,5
70,65,8.437,12.98,15,38.1,8,3,3,2,2,1,A,A,80,,1,9
71,NA,NA,NA,30,76.2,3,1,1,1,1,1,B,A,80,,1,4
72,NA,NA,NA,30,76.2,3,1,2,1,NA,1,B,B,100,,1,5
73,NA,NA,NA,12,30.48,3,3,1,1,1,1,B,B,60,,1,6
74,NA,NA,NA,24,60.96,1,1,2,1,2,1,B,A,100,,1,5
75,114,15.414,13.52105263,20,50.8,4,2,2,2,2,1,B,B,60,,1,7
76,80,13.101,16.37625,30,76.2,2,1,1,2,1,1,B,B,80,,1,5
77,70,11.742,16.77428571,12,30.48,2,3,1,NA,1,1,NA,B,100,,1,5
78,54,8.153,15.09814815,16,40.64,3,1,1,NA,2,1,A,B,80,,1,3
79,105,16.998,16.18857143,24,60.96,4,3,3,2,1,1,B,A,100,,1,9
80,NA,NA,NA,36,91.44,4,2,2,1,2,2,A,A,100,,2,7
81,NA,NA,NA,20,50.8,3,1,1,2,2,1,A,B,100,,1,5
82,69,6.55,9.492753623,30,76.2,3,1,1,2,2,2,B,A,60,,1,5
83,NA,NA,NA,15,38.1,3,3,3,2,2,2,A,B,100,,1,9
84,NA,NA,NA,36,91.44,3,3,2,2.5,2,1,B,A,80,,1,8.5
85,NA,NA,NA,18,45.72,4,3,2,1,2,1,A,B,100,,1,7
86,NA,NA,NA,16,40.64,6,1,3,1,2,1,B,B,100,,1,6
87,NA,NA,NA,18,45.72,5,3,2,2,2,1,A,B,100,,1,8
88,190,28.303,14.89631579,21,53.34,7,3,4,2,2,1,B,B,100,,2,11
89,NA,NA,NA,30,76.2,2,2,2,3,2,1,B,B,100,,2,9
90,93,14.155,15.22043011,15,38.1,5,3,1,1,1,1,B,B,100,,1,6
91,NA,NA,NA,33,83.82,4,3,1,1,1,1,B,B,100,,1,6
92,NA,NA,NA,27,68.58,7,2,3,2,2,1,B,B,80,,1,8
93,127,17.293,13.61653543,30,76.2,6,2,1,1,2,1,B,B,80,,1,5
94,78,7.552,9.682051282,15,38.1,5,2,1,1,1,1,B,A,100,,1,5
95,NA,NA,NA,30,76.2,7,3,2,1,2,1,B,B,80,,1,7
96,NA,NA,NA,36,91.44,7,2,1,1,1,1,B,B,100,,1,5
97,NA,NA,NA,19,48.26,8,4,4,2,2,1,B,B,60,,2,12
98,NA,NA,NA,14,35.56,4,2,3.5,2,2,1,B,A,80,,1,8.5
99,44,6.747,15.33409091,26,66.04,2,1,1,1,2,1,B,A,100,,1,4
100,205,25.923,12.64536585,30,76.2,5,3,1,1,2,1,B,B,60,,1,6
101,NA,NA,NA,16,40.64,6,3,2,1,2,1,B,A,80,,1,7
102,104,10.689,10.27788462,14,35.56,4,3,1,2,2,1,B,B,100,,1,7
103,160,20.602,12.87625,30,76.2,6,1,1,1,2,1,B,A,100,,1,4
104,NA,NA,NA,15,38.1,5,1,1,2,2,1,A,A,100,,1,5
105,69,10.202,14.78550725,12,30.48,6,2,1,3,1,1,B,B,100,,1,7
106,42,5.792,13.79047619,36,91.44,2,1,1,1,2,1,B,A,100,,1,4
107,NA,NA,NA,12,30.48,4,2,1,2,1,1,A,B,100,,1,6
108,NA,NA,NA,27,68.58,6,2,0,2,1,1,B,B,60,,1,5
109,NA,NA,NA,24,60.96,3,3,3,4,2,2,A,B,80,,4,
110,NA,NA,NA,24,60.96,3,2,1,1,2,1,B,B,100,,1,5
111,NA,NA,NA,36,91.44,6,3,1,2,2,1,B,B,80,,1,7
112,NA,NA,NA,25,63.5,4,2,1,1,2,1,B,A,60,,1,5
113,46,6.02,13.08695652,15,38.1,5,3,1,2,2,1,A,A,100,,1,7
114,NA,NA,NA,15,38.1,4,3,1,2,2,1,B,B,80,,1,7
115,NA,NA,NA,16,40.64,4,1,1,1,1,1,B,B,100,,1,4
116,NA,NA,NA,18,45.72,4,2.5,1.5,4,2,1,B,B,60,,1,9
117,NA,NA,NA,12,,3,2,1,1,1,1,B,A,60,yes,1,5
118,NA,NA,NA,36,91.44,5,3,2,2,2,1,A,B,100,,2,9
119,NA,NA,NA,12,30.48,4,2,3,1,1,1,A,B,100,,1,7
120,NA,NA,NA,16,40.64,5,3,1,1,1,1,B,B,100,,1,6
121,NA,NA,NA,30,76.2,3,3,2,2,2,1,B,B,60,,1,8
122,NA,NA,NA,30,76.2,2,3,1,2,2,1,B,B,40,,1,7
123,NA,NA,NA,18,45.72,3,3,3,2.5,2,1,B,B,60,,2,10.5
124,NA,NA,NA,30,76.2,6,3,1,2,2,2,B,B,100,,1,7
125,NA,NA,NA,30,76.2,8,3,2,1,2,1,B,A,100,,1,7
