Line name,% GerminationNAMoccasinNA2016,Tendril Length 2016,Avg branch number 2016,AVG length moc 2016,%lodging 2016,Mat timeNA MoccasinNA2016,white flow moc 2016 checked,afila 2016 moc checked,Main stem diam avg 2016,avg branch diam 2016,avg root diam 2016
133,94.11764706,13.5,1.2,63,44.44444444,3,B,A,1.39,1.75,1.09
134,100,18,1,57.33333333,43.02325581,1,A,A,1.82,1.67,1.274
135,88.23529412,14.5,1,30.66666667,43.47826087,4,B,B,2.192,,1.512
136,76.47058824,12,1.5,29,37.93103448,3,B,B,2.35,,1.51
137,,,,,,,B,B,,,
138,100,15,1,55.5,32.43243243,1,A,A,1.7825,1.715,1.312
139,94.11764706,13,2.1,24.66666667,13.51351351,4,B,B,2.16,2.296666667,1.81
140,88.23529412,15.5,1.2,58.33333333,36.57142857,3,B,A,1.806666667,,1.42
141,88.23529412,13.5,1,37.5,12,3,B,A,2.084,,1.386
142,76.47058824,13,1.4,31,26.88172043,1,B,B,2.22,,1.5525
143,94.11764706,16.5,1.6,65,27.69230769,3,A,A,2.03,2.02,1.4575
144,88.23529412,13,1,50.66666667,48.68421053,3,B,B,2.0275,1.96,1.68
145,88.23529412,13,1.4,23.5,30.85106383,2,A,B,2.385,1.915,1.572
146,94.11764706,12,1,24,25,3,A,A,2.118,,1.4
147,100,17,1.6,66.66666667,41.5,3,A,B,1.896666667,1.915,1.383333333
148,82.35294118,11.5,1,33.5,31.34328358,3,B,A,2.03,2.04,1.248
149,100,13,1.4,35.66666667,42.99065421,3,A,B,2.086666667,2.113333333,1.475
150,100,13,1.4,51.66666667,60.64516129,3,B,A,1.586666667,1.9,1.3025
151,100,17,1,58,58.62068966,1,A,B,2.025,2.51,1.402
152,100,14.5,2.4,52.66666667,20.88607595,3,A,B,1.72,1.84,1.346
153,100,15.5,2,69.5,42.44604317,3,B,A,1.6475,1.855,1.398
154,100,14.5,1.2,34.66666667,35.57692308,1,A,A,2.045,1.76,1.308
155,94.11764706,16,1.75,35,30,3,B,A,1.9825,1.93,1.298
156,94.11764706,18,1,60.66666667,60.98901099,1.25,B,B,2.032,,1.268
157,100,14,1,54,56.48148148,1,A,B,2.038333333,,1.325
158,100,13,,50.66666667,46.71052632,1,B,B,1.654,1.73,1.215
159,76.47058824,16.5,1.75,58.33333333,36.57142857,3,B,A,1.87,2.71,1.3125
160,94.11764706,13,2,37.5,5.333333333,4,A,B,2.47,2.445,1.59
161,100,16.5,1.6,58.66666667,22.72727273,3,A,A,1.674,1.86,1.52
162,94.11764706,14.5,1.6,32.66666667,30.6122449,4,A,B,2.54,2.3,1.735
163,52.94117647,12,2,29.66666667,34.83146067,4,B,A,,,
164,88.23529412,13.5,1,33.66666667,8.910891089,4,B,B,2.366666667,,1.68
165,82.35294118,16,2,55.33333333,24.69879518,3,B,B,2.123333333,2.32,1.46
166,100,17,1.4,61.33333333,33.69565217,2,A,B,2.14,1.62,1.54
167,94.11764706,13,1.8,43,11.62790698,3,A,B,2.07,2.035,1.574
168,100,13,1.6,37,27.02702703,3.5,A,B,2.306,2.37,1.49
169,,,,,,,,,,,
170,64.70588235,14.5,2,68.66666667,21.3592233,3,B,A,1.715,1.735,1.49
171,82.35294118,15,1,63,73.01587302,2,B,B,1.6875,,1.4225
172,94.11764706,15.5,1.4,62.66666667,27.65957447,3,A,A,1.6325,1.595,1.22
173,100,14.5,2.2,45.5,16.48351648,2.5,A,B,1.85,1.86,1.662
174,64.70588235,15.5,1,29.5,38.98305085,3,B,B,,,
175,100,17,1.4,85,41.56862745,3,A,A,1.8075,1.78,1.288
